Tue Oct 07 2025 9:27:13 [SERVER-NAME] warn: [33mMongoDB disconnected. Attempting to reconnect...[39m
Tue Oct 07 2025 9:28:14 [SERVER-NAME] info: [32mConfig validation successful.[39m
Tue Oct 07 2025 9:35:58 [SERVER-NAME] info: [32mConfig validation successful.[39m
Tue Oct 07 2025 9:36:38 [SERVER-NAME] info: [32mConfig validation successful.[39m
Tue Oct 07 2025 9:36:38 [SERVER-NAME] info: [46m🚀 Database connected successfully[49m
Tue Oct 07 2025 9:36:39 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7008[39m
Tue Oct 07 2025 9:36:39 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7008[49m
Tue Oct 07 2025 9:36:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68dd0308cf3c6e7dd5f695b2 200 - 110.272 ms
Tue Oct 07 2025 9:37:2 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 17.476 ms
Tue Oct 07 2025 9:37:2 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 11.376 ms
Tue Oct 07 2025 9:37:4 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.450 ms
Tue Oct 07 2025 9:37:4 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 2.141 ms
Tue Oct 07 2025 9:37:4 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.128 ms
Tue Oct 07 2025 9:37:4 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 1.536 ms
Tue Oct 07 2025 9:37:5 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.220 ms
Tue Oct 07 2025 9:37:5 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 2.099 ms
Tue Oct 07 2025 9:37:6 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.062 ms
Tue Oct 07 2025 9:37:6 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 1.962 ms
Tue Oct 07 2025 9:37:6 [SERVER-NAME] info: 10.10.7.14 - GET /image/jaket-1759315074933.jpg 200 - 3.268 ms
Tue Oct 07 2025 9:51:22 [SERVER-NAME] info: 10.10.7.14 - GET /image/566ff94183139bca8ea3fcde1b45bd20-1759226692440.jpg 200 - 89.085 ms
Tue Oct 07 2025 9:51:24 [SERVER-NAME] info: 10.10.7.14 - GET /image/screenshot-2025-07-09-160658-1759149437476.png 200 - 4.902 ms
Tue Oct 07 2025 9:51:30 [SERVER-NAME] info: 10.10.7.14 - POST /api/v1/auth/login 200 - 442.099 ms
Tue Oct 07 2025 9:51:30 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 13.229 ms
Tue Oct 07 2025 9:51:30 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 4.180 ms
Tue Oct 07 2025 9:51:30 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 11.208 ms
Tue Oct 07 2025 9:51:30 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 3.214 ms
Tue Oct 07 2025 9:51:30 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 3.383 ms
Tue Oct 07 2025 9:51:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68dd0308cf3c6e7dd5f695b2 200 - 30.877 ms
Tue Oct 07 2025 9:51:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 5.249 ms
Tue Oct 07 2025 9:51:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 1.839 ms
Tue Oct 07 2025 9:51:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 1.875 ms
Tue Oct 07 2025 9:51:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 3.894 ms
Tue Oct 07 2025 9:51:31 [SERVER-NAME] info: 10.10.7.14 - GET /image/jaket-1759315074933.jpg 200 - 1.643 ms
Tue Oct 07 2025 9:51:33 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68dd0405cf3c6e7dd5f695c4 200 - 8.778 ms
Tue Oct 07 2025 9:51:34 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68dd0d29764a94306a829adb 200 - 13.411 ms
Tue Oct 07 2025 9:51:35 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f8bdd68b7214c680dd7 200 - 2.458 ms
Tue Oct 07 2025 9:51:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d2610c4434ddde1b82301c 200 - 2.981 ms
Tue Oct 07 2025 9:51:37 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68e0f1464048134463149cd7 200 - 1.868 ms
Tue Oct 07 2025 9:52:10 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/contest/68dd0482cf3c6e7dd5f695d8 200 - 20.165 ms
Tue Oct 07 2025 9:52:10 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/68dd0482cf3c6e7dd5f695d8/tiers 200 - 34.110 ms
Tue Oct 07 2025 9:52:11 [SERVER-NAME] info: 10.10.7.14 - GET /image/jaket-1759315074933.jpg 200 - 0.982 ms
Tue Oct 07 2025 9:52:11 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/contest/prediction/68dd0482cf3c6e7dd5f695d8/tiers/68dd0482cf3c6e7dd5f695d9 200 - 5.560 ms
Tue Oct 07 2025 9:52:11 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/contest/prediction/68dd0482cf3c6e7dd5f695d8/tiers/68dd0482cf3c6e7dd5f695d9 200 - 5.490 ms
