Mon Oct 20 2025 9:33:38 [SERVER-NAME] info: [32mConfig validation successful.[39m
Mon Oct 20 2025 9:33:38 [SERVER-NAME] info: [46m🚀 Database connected successfully[49m
Mon Oct 20 2025 9:33:38 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7008[39m
Mon Oct 20 2025 9:33:38 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7008[49m
Mon Oct 20 2025 9:33:40 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 34.244 ms
Mon Oct 20 2025 9:33:40 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 14.592 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - POST /api/v1/auth/login 200 - 245.173 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 3.344 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 2.265 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 3.397 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 4.154 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 17.779 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 4.877 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f460f3b43b427f0bce5989 200 - 55.419 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f460f3b43b427f0bce5989 200 - 6.146 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 3.444 ms
Mon Oct 20 2025 9:33:58 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 1.859 ms
