Tue Oct 28 2025 10:0:45 [SERVER-NAME] info: [32mConfig validation successful.[39m
Tue Oct 28 2025 10:0:46 [SERVER-NAME] info: [46m🚀 Database connected successfully[49m
Tue Oct 28 2025 10:0:46 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7008[39m
Tue Oct 28 2025 10:0:46 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7008[49m
Tue Oct 28 2025 10:1:11 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68f70b6c443d91ba3a751db4 200 - 9.022 ms
Tue Oct 28 2025 10:1:11 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68fa1db17816de2b1569d5bb 200 - 39.129 ms
Tue Oct 28 2025 10:1:12 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.843 ms
Tue Oct 28 2025 10:1:12 [SERVER-NAME] info: 10.10.7.14 - GET /image/ferrarylogo-1761222231829.png 200 - 3.005 ms
Tue Oct 28 2025 10:1:12 [SERVER-NAME] info: 10.10.7.14 - GET /image/aziz-1761563867807.jpg 200 - 3.205 ms
Tue Oct 28 2025 10:10:48 [SERVER-NAME] info: Mail send successfully
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - POST /api/v1/auth/login 200 - 213.761 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.392 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 2.188 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 2.533 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.200 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 2.760 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 15.209 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f70a47a2b62f7d25c0c204 200 - 5.033 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 5.488 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 4.053 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 3.303 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 3.933 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f70a47a2b62f7d25c0c204 200 - 4.229 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.452 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 1.529 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 5.791 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 4.292 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 4.573 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 3.794 ms
Tue Oct 28 2025 10:13:28 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f70a47a2b62f7d25c0c204 200 - 3.973 ms
Tue Oct 28 2025 10:13:32 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 3.915 ms
Tue Oct 28 2025 10:13:32 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/orders/my-orders?limit=2&page=1 200 - 20.621 ms
Tue Oct 28 2025 10:13:32 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/orders/analysis 200 - 11.759 ms
Tue Oct 28 2025 10:13:32 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/referrals/code 200 - 4.088 ms
Tue Oct 28 2025 10:13:32 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/orders/past-orders?limit=3&page=1 200 - 11.945 ms
Tue Oct 28 2025 10:13:32 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/orders/past-order-analysis 200 - 8.296 ms
Tue Oct 28 2025 10:13:36 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 3.917 ms
Tue Oct 28 2025 10:13:37 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/withdrawals/cards 200 - 4.795 ms
Tue Oct 28 2025 10:13:37 [SERVER-NAME] info: 10.10.7.14 - GET / 200 - 45.989 ms
Tue Oct 28 2025 10:23:54 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 5.518 ms
Tue Oct 28 2025 10:23:54 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 7.401 ms
Tue Oct 28 2025 10:23:54 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/withdrawals/cards 200 - 3.828 ms
Tue Oct 28 2025 10:23:59 [SERVER-NAME] info: 10.10.7.14 - GET / 200 - 1.456 ms
Tue Oct 28 2025 10:24:10 [SERVER-NAME] info: 10.10.7.14 - PATCH /api/v1/users/profile 200 - 15.085 ms
Tue Oct 28 2025 10:24:14 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 3.737 ms
Tue Oct 28 2025 10:24:14 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 5.152 ms
Tue Oct 28 2025 10:24:14 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/withdrawals/cards 200 - 3.629 ms
Tue Oct 28 2025 10:24:14 [SERVER-NAME] info: 10.10.7.14 - GET /image/cee46b462e10d9c4886f067bcbe143ae8f884c1f-1761625450537.jpg 200 - 0.858 ms
Tue Oct 28 2025 10:24:14 [SERVER-NAME] info: 10.10.7.14 - GET /image/cee46b462e10d9c4886f067bcbe143ae8f884c1f-1761625450537.jpg 200 - 0.800 ms
Tue Oct 28 2025 10:36:41 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.224 ms
Tue Oct 28 2025 10:36:41 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 2.746 ms
Tue Oct 28 2025 10:36:41 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 1.759 ms
Tue Oct 28 2025 10:36:41 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 4.561 ms
Tue Oct 28 2025 10:36:41 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 4.724 ms
Tue Oct 28 2025 10:36:41 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f70a47a2b62f7d25c0c204 200 - 8.661 ms
Tue Oct 28 2025 10:36:48 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 1.733 ms
Tue Oct 28 2025 10:36:48 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/?groupId=68d21f76dd68b7214c680dd0 200 - 1.804 ms
Tue Oct 28 2025 10:36:49 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 1.500 ms
Tue Oct 28 2025 10:36:49 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 2.795 ms
